case_id,open_date,close_date,target_close_date,case_topic,service_name,assigned_department,assigned_team,case_status,closure_reason,closure_comments,on_time,report_source,full_address,street_number,street_name,zip_code,neighborhood,public_works_district,city_council_district,fire_district,police_district,ward,precinct,longitude,latitude
BCS-00065327,2025-08-01 06:35:06.539+00,2025-08-01 08:00:09+00,2025-08-04 06:35:06.539+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,Closed,Resolved,,ONTIME,Call,"70 Ceylon St, Dorchester, MA 02121",70,Ceylon St,02121,Dorchester,3,4,7,B2,14,01,-71.072802,42.310332
BCS-00065331,2025-08-01 07:22:49.594+00,2025-08-01 08:30:08+00,2025-08-04 07:22:49.594+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,Closed,Resolved,,ONTIME,Call,"157 W Broadway, South Boston, MA 02127",157,W Broadway,02127,South Boston,5,2,6,C6,06,02,-71.053605,42.340329
BCS-00065692,2025-08-01 15:05:35.458+00,,2025-08-04 15:05:35.458+00,Wild Animal Issue,Wild Animal Issue,Animal Care & Control,Animal control staff,In progress,,,OVERDUE,Call,"540 Gallivan Blvd, Dorchester, MA 02122",540,Gallivan Blvd,02122,Dorchester,7A,3,8,C11,16,09,-71.0547165,42.28299
BCS-00065743,2025-08-01 15:56:03.915+00,,2025-08-04 15:56:03.915+00,Wild Animal Issue,Wild Animal Issue,Animal Care & Control,Animal control staff,In progress,,,OVERDUE,Call,"63 Sedgwick St, Jamaica Plain, MA 02130",63,Sedgwick St,02130,Jamaica Plain,2,6,9,E13,19,06,-71.113086,42.308514
BCS-00065757,2025-08-01 16:24:35.596+00,,2025-08-04 16:24:35.596+00,Wild Animal Issue,Wild Animal Issue,Animal Care & Control,Animal control staff,In progress,,,OVERDUE,Call,"24 Algonquin St, Dorchester, MA 02124",24,Algonquin St,02124,Dorchester,3,4,8,B3,17,01,-71.074179,42.297552
BCS-00065790,2025-08-01 17:40:02.71+00,,2025-08-04 17:40:02.71+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,In progress,,,OVERDUE,Call,"101 Rossmore Rd 3, Jamaica Plain, MA 02130",101,Rossmore Rd,02130,Jamaica Plain,2,6,9,E13,11,08,-71.10514,42.3031
BCS-00065803,2025-08-01 18:03:51.134+00,,2025-08-04 18:03:51.134+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,In progress,,,OVERDUE,Call,"Freeport St & Kimball St, Dorchester, MA 02122",,,02122,Dorchester,3,3,7,C11,15,06,-71.056917,42.305121
BCS-00065814,2025-08-01 18:47:08.568+00,2025-08-07 12:15:01+00,2025-08-04 18:47:08.568+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,Closed,Resolved,,OVERDUE,Call,"42 Alexander St, Dorchester, MA 02125",42,Alexander St,02125,Dorchester,3,7,7,B2,13,04,-71.069445,42.317586
BCS-00065816,2025-08-01 18:48:23.003+00,2025-08-07 13:15:01+00,2025-08-04 18:48:23.003+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,Closed,Resolved,,OVERDUE,Call,"960 Dorchester Ave, Dorchester, MA 02125",960,Dorchester Ave,02125,Dorchester,3,3,7,C11,13,07,-71.056224,42.317748
BCS-00065822,2025-08-01 19:00:48.498+00,,2025-08-04 19:00:48.498+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,In progress,,,OVERDUE,Call,"599 Old Colony Ave, Dorchester, MA 02125",599,Old Colony Ave,02125,Dorchester,3,3,7,C11,13,07,-71.0523855,42.320619
BCS-00065840,2025-08-01 20:33:21.702+00,2025-08-06 06:45:01+00,2025-08-04 20:33:21.702+00,Wild Animal Issue,Wild Animal Issue,Animal Care & Control,Animal control staff,Closed,Resolved,,OVERDUE,Call,"237 Lagrange St, West Roxbury, MA 02132",237,Lagrange St,02132,West Roxbury,6B,6,10,E5,20,14,-71.15292,42.277248
BCS-00065843,2025-08-01 20:59:49.697+00,,2025-08-04 20:59:49.697+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,In progress,,,OVERDUE,Call,"1 Seaport Ln, South Boston Waterfront, MA 02210",1,Seaport Ln,02210,South Boston Waterfront,5,2,6,C6,06,12,-71.0412345,42.34941
BCS-00065848,2025-08-01 21:19:24.465+00,2025-08-02 17:00:01+00,2025-08-04 21:19:24.465+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,Closed,Noted,,ONTIME,Call,"36 Border St, East Boston, MA 02128",36,Border St,02128,East Boston,9,1,1,A7,01,03,-71.0430615,42.371406
BCS-00065849,2025-08-01 21:32:46.073+00,2025-08-02 17:00:03+00,2025-08-04 21:32:46.073+00,Wild Animal Issue,Wild Animal Issue,Animal Care & Control,Animal control staff,Closed,Resolved,,ONTIME,Call,"38 W Walnut Park, Jamaica Plain, MA 02119",38,W Walnut Park,02119,Jamaica Plain,10B,6,9,E13,11,04,-71.0991495,42.317262
BCS-00065851,2025-08-01 21:39:42.813+00,2025-08-02 17:00:05+00,2025-08-04 21:39:42.813+00,Wild Animal Issue,Wild Animal Issue,Animal Care & Control,Animal control staff,Closed,Resolved,,ONTIME,Call,"38 Walnut Park 10, Roxbury, MA 02119",38,Walnut Park,02119,Roxbury,10B,7,9,E13,11,03,-71.09603,42.31566
BCS-00065858,2025-08-01 22:17:57.094+00,2025-08-02 17:00:07+00,2025-08-04 22:17:57.094+00,Wild Animal Issue,Wild Animal Issue,Animal Care & Control,Animal control staff,Closed,Resolved,,ONTIME,Call,"156 Tomahawk Dr, East Boston, MA 02128",156,Tomahawk Dr,02128,East Boston,9,1,1,A7,01,02,-71.0312175,42.368778
BCS-00065866,2025-08-02 03:19:31.56+00,2025-08-02 17:00:09+00,2025-08-05 03:19:31.56+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,Closed,Resolved,,ONTIME,Call,"139 Moreland St, Roxbury, MA 02119",139,Moreland St,02119,Roxbury,3,7,7,B2,08,05,-71.0750385,42.322059
BCS-00065871,2025-08-02 06:28:41.428+00,2025-08-02 06:40:34+00,2025-08-05 06:28:41.428+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,Closed,Resolved,Duplicate to existing case. (bcs-00065866 ),ONTIME,Call,"139 Moreland St, Roxbury, MA 02119",139,Moreland St,02119,Roxbury,3,7,7,B2,08,05,-71.0750385,42.322059
BCS-00065880,2025-08-02 08:21:01.816+00,2025-08-02 17:00:11+00,2025-08-05 08:21:01.816+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,Closed,Resolved,,ONTIME,Call,"350 S Huntington Ave, Jamaica Plain, MA 02130",350,S Huntington Ave,02130,Jamaica Plain,2,6,9,E13,10,09,-71.111043,42.32277
BCS-00065902,2025-08-02 09:55:21.974+00,2025-08-02 17:00:13+00,2025-08-05 09:55:21.974+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,Closed,Resolved,,ONTIME,Call,"10 Rena St, Allston, MA 02134",10,Rena St,02134,Allston,4,9,11,D14,22,01,-71.1284625,42.361236
BCS-00065910,2025-08-02 10:19:25.506+00,2025-08-02 17:00:15+00,2025-08-05 10:19:25.506+00,Wild Animal Issue,Wild Animal Issue,Animal Care & Control,Animal control staff,Closed,Resolved,,ONTIME,Call,"111 Windham Rd, Hyde Park, MA 02136",111,Windham Rd,02136,Hyde Park,8A,5,12,E18,18,22,-71.125119,42.268698
